playername	month	year	img	char
Doyle%20Alexander	4	2008	0	9968
Doyle%20Alexander	4	2009	0	14629
Doyle%20Alexander	4	2010	0	15901
Doyle%20Alexander	4	2011	0	17468
Doyle%20Alexander	5	2006	0	8720
Doyle%20Alexander	5	2007	0	9583
Doyle%20Alexander	5	2008	0	9912
Doyle%20Alexander	5	2009	0	14660
Doyle%20Alexander	5	2010	0	15901
Doyle%20Alexander	5	2011	0	17478
Doyle%20Alexander	6	2006	0	8893
Doyle%20Alexander	6	2007	0	9621
Doyle%20Alexander	6	2008	0	11161
Doyle%20Alexander	6	2009	0	14660
Doyle%20Alexander	6	2010	0	15805
Doyle%20Alexander	6	2011	0	17478
Doyle%20Alexander	7	2006	0	9323
Doyle%20Alexander	7	2007	0	9761
Doyle%20Alexander	7	2008	0	9957
Doyle%20Alexander	7	2009	0	15643
Doyle%20Alexander	7	2010	0	15805
Doyle%20Alexander	7	2011	0	17697
Doyle%20Alexander	8	2006	0	9331
Doyle%20Alexander	8	2007	0	9662
Doyle%20Alexander	8	2008	0	10136
Doyle%20Alexander	8	2009	0	15643
Doyle%20Alexander	8	2010	0	15805
Doyle%20Alexander	8	2011	0	17736
Doyle%20Alexander	9	2006	0	9331
Doyle%20Alexander	9	2007	0	10289
Doyle%20Alexander	9	2008	0	10280
Doyle%20Alexander	9	2009	0	15643
Doyle%20Alexander	9	2010	0	16566
Doyle%20Alexander	9	2011	0	17736
Doyle%20Alexander	10	2006	0	9331
Doyle%20Alexander	10	2007	0	10677
Doyle%20Alexander	10	2008	0	10280
Doyle%20Alexander	10	2009	0	15643
Doyle%20Alexander	10	2010	0	16566
Doyle%20Alexander	10	2011	0	17736
Doyle%20Alexander	11	2006	0	9331
Doyle%20Alexander	11	2007	0	10753
Doyle%20Alexander	11	2008	0	10280
Doyle%20Alexander	11	2009	0	15581
Doyle%20Alexander	11	2010	0	17732
Doyle%20Alexander	11	2011	0	17736
Doyle%20Alexander	12	2006	0	9468
Doyle%20Alexander	12	2007	0	10753
Doyle%20Alexander	12	2008	0	10280
Doyle%20Alexander	12	2009	0	15581
Doyle%20Alexander	12	2010	0	17732
Doyle%20Alexander	12	2011	0	17736
Dick%20Allen	1	2006	0	18788
Dick%20Allen	1	2007	0	28635
Dick%20Allen	1	2008	0	35446
Dick%20Allen	1	2009	0	60213
Dick%20Allen	1	2010	1	72321
Dick%20Allen	1	2011	1	74798
Dick%20Allen	2	2006	0	19004
Dick%20Allen	2	2007	0	29547
Dick%20Allen	2	2008	0	50098
Dick%20Allen	2	2009	0	59453
Dick%20Allen	2	2010	1	72827
Dick%20Allen	2	2011	1	74858
Dick%20Allen	3	2006	0	20990
Dick%20Allen	3	2007	0	29591
Dick%20Allen	3	2008	0	50065
Dick%20Allen	3	2009	0	59712
Dick%20Allen	3	2010	1	73424
Dick%20Allen	3	2011	1	78407
Dick%20Allen	4	2006	0	21942
Dick%20Allen	4	2007	0	30063
Dick%20Allen	4	2008	0	50302
Dick%20Allen	4	2009	0	60284
Dick%20Allen	4	2010	1	73350
Dick%20Allen	4	2011	1	119484
Dick%20Allen	5	2006	0	23327
Dick%20Allen	5	2007	0	29782
Dick%20Allen	5	2008	0	52790
Dick%20Allen	5	2009	0	60492
Dick%20Allen	5	2010	1	73350
Dick%20Allen	5	2011	1	122354
Dick%20Allen	6	2006	0	24191
Dick%20Allen	6	2007	0	29954
Dick%20Allen	6	2008	0	53028
Dick%20Allen	6	2009	0	60654
Dick%20Allen	6	2010	1	73174
Dick%20Allen	6	2011	1	122354
Dick%20Allen	7	2006	0	24179
Dick%20Allen	7	2007	0	29660
Dick%20Allen	7	2008	0	53248
